Province,District,Facility,Facility ID,HTS_TST,HTS_POS,TX_NEW
Bulawayo,Bulawayo,Cesshar,ZW090A49,363,18,16
Bulawayo,Bulawayo,Cowdray Park - 100348 - Clinic,bCj2JfVpDwN,1234,64,83
Bulawayo,Bulawayo,Cowdry Park Health Centre,ZW090A0I,681,58,25
Bulawayo,Bulawayo,Dr. Shennan - 100418 - Clinic,wBUDmbYlwLg,236,4,5
Bulawayo,Bulawayo,E.F. Watson - 100429 - Clinic,g6ay6w7LekM,443,6,10
Bulawayo,Bulawayo,Emakhandeni - 100443 - Clinic,MdssoEu135X,512,14,12
Bulawayo,Bulawayo,Emganwini Clinic,aaUa9jRqdW4,54,2,4
Bulawayo,Bulawayo,Entumbane - 100449 - Clinic,zmivGPwI9w9,259,19,14
Bulawayo,Bulawayo,Ingutsheni - 100638 - Central Hospital,ZW090A0B,121,6,0
Bulawayo,Bulawayo,Khami - 100733 - Clinic,e1IkMDxL8fe,540,42,22
Bulawayo,Bulawayo,Luveve - 100786 - Clinic,xgkg7SkAtoW,563,21,16
Bulawayo,Bulawayo,Magwegwe - 100824 - Clinic,W71FXxLCgwr,638,37,22
Bulawayo,Bulawayo,Mahatshula Clinic,Jf06hGdTGOt,212,11,7
Bulawayo,Bulawayo,Maqhawe - 100893 - Clinic,RPASqynqwCM,893,35,25
Bulawayo,Bulawayo,Mpilo - 101041 - Central Hospital,ZW090D0D,203,23,30
Bulawayo,Bulawayo,Mzilikazi - 101202 - Clinic,zxc4441YIhY,322,16,19
Bulawayo,Bulawayo,Njube - 101273 - Clinic,yuqvs8nDoW7,377,27,36
Bulawayo,Bulawayo,Nketa - 101276 - Clinic,kQYOhNfF8V7,0,0,0
Bulawayo,Bulawayo,Nkulumane - 101278 - Clinic,YVhOfzBetf1,597,42,29
Bulawayo,Bulawayo,Northern Suburbs - 101290 - Clinic,HyfZLnkED5k,586,31,28
Bulawayo,Bulawayo,Pelandaba - 101412 - Clinic,vzOHH2UeLTM,459,45,40
Bulawayo,Bulawayo,Princess Margaret - 101429 - Clinic,CyzLGOqW4CZ,746,32,47
Bulawayo,Bulawayo,Pumula - 101432 - Clinic,xQrUWw2fUC7,573,40,41
Bulawayo,Bulawayo,Pumula South - 101434 - Clinic,Ta5WU3NkNI0,293,24,19
Bulawayo,Bulawayo,Thorngrove,ZW090A0E,28,0,0
Bulawayo,Bulawayo,Tshabalala - 101710 - Clinic,lmWhvNsB4XS,414,12,19
Bulawayo,Bulawayo,United Bulawayo Hospital - 101723 - Central Hospital,ZW090C0C,354,19,0
Harare,Chitungwiza,Seke North - 101533 - Clinic,tPiQaqp8wX7,1821,78,154
Harare,Chitungwiza,Seke South - 101534 - Clinic,kVEQJTFoFoA,546,39,46
Harare,Chitungwiza,St. Mary's - 101633 - Clinic,JHGXfAqaDN6,1723,97,273
Harare,Chitungwiza,Zengeza Clinic - 100305 - Council Clinic,MviCUcbWstw,488,48,94
Harare,Epworth,Epworth - 100451 - Poly Clinic,GN8ay9yoERu,959,111,338
Harare,Epworth,Epworth - 100452 - Mission Clinic,F0ea0uQpBtP,189,28,16
Harare,Epworth,Overspill - 101399 - Satellite Clinic,ZW030927,761,90,172
Harare,Harare,Arcadia - 100015 - Clinic,OBXlKhRkRIb,18,2,0
Harare,Harare,Avondale - 100030 - Clinic,LixFsP9YMT9,305,14,19
Harare,Harare,Beatrice Infectious - 100050 - Hospital,MjDD6XQksTN,73,7,70
