Province,District,HTS_TST datim,HTS_TST dhis2,HTS_TST_Concordance,HTS_POS datim,HTS_POS dhis2,HTS_POS_Concordance,TX_NEW datim,TX_NEW dhis2,TX_NEW_Concordance
Bulawayo,Bulawayo,363,219.0,60.0,18,10.0,56.0,16,28.0,57.0
Bulawayo,Bulawayo,1234,0.0,0.0,64,0.0,0.0,83,0.0,0.0
Bulawayo,Bulawayo,681,309.0,45.0,58,37.0,64.0,25,0.0,0.0
Bulawayo,Bulawayo,236,0.0,0.0,4,0.0,0.0,5,0.0,0.0
Bulawayo,Bulawayo,443,0.0,0.0,6,0.0,0.0,10,0.0,0.0
Bulawayo,Bulawayo,512,0.0,0.0,14,0.0,0.0,12,0.0,0.0
Bulawayo,Bulawayo,54,0.0,0.0,2,0.0,0.0,4,0.0,0.0
Bulawayo,Bulawayo,259,0.0,0.0,19,0.0,0.0,14,0.0,0.0
Bulawayo,Bulawayo,121,0.0,0.0,6,0.0,0.0,0,0.0,100.0
Bulawayo,Bulawayo,540,0.0,0.0,42,0.0,0.0,22,0.0,0.0
Bulawayo,Bulawayo,563,0.0,0.0,21,0.0,0.0,16,0.0,0.0
Bulawayo,Bulawayo,638,0.0,0.0,37,0.0,0.0,22,0.0,0.0
Bulawayo,Bulawayo,212,0.0,0.0,11,0.0,0.0,7,0.0,0.0
Bulawayo,Bulawayo,893,0.0,0.0,35,0.0,0.0,25,0.0,0.0
Bulawayo,Bulawayo,203,0.0,0.0,23,0.0,0.0,30,0.0,0.0
Bulawayo,Bulawayo,322,0.0,0.0,16,0.0,0.0,19,0.0,0.0
Bulawayo,Bulawayo,377,0.0,0.0,27,0.0,0.0,36,0.0,0.0
Bulawayo,Bulawayo,0,0.0,100.0,0,0.0,100.0,0,0.0,100.0
Bulawayo,Bulawayo,597,0.0,0.0,42,0.0,0.0,29,0.0,0.0
Bulawayo,Bulawayo,586,0.0,0.0,31,0.0,0.0,28,0.0,0.0
Bulawayo,Bulawayo,459,0.0,0.0,45,0.0,0.0,40,0.0,0.0
Bulawayo,Bulawayo,746,0.0,0.0,32,0.0,0.0,47,0.0,0.0
Bulawayo,Bulawayo,573,0.0,0.0,40,0.0,0.0,41,0.0,0.0
Bulawayo,Bulawayo,293,0.0,0.0,24,0.0,0.0,19,0.0,0.0
Bulawayo,Bulawayo,28,1.0,4.0,0,0.0,100.0,0,0.0,100.0
Bulawayo,Bulawayo,414,0.0,0.0,12,0.0,0.0,19,0.0,0.0
Bulawayo,Bulawayo,354,0.0,0.0,19,0.0,0.0,0,0.0,100.0
Harare,Chitungwiza,1821,0.0,0.0,78,0.0,0.0,154,0.0,0.0
Harare,Chitungwiza,546,0.0,0.0,39,0.0,0.0,46,0.0,0.0
Harare,Chitungwiza,1723,0.0,0.0,97,0.0,0.0,273,0.0,0.0
Harare,Chitungwiza,488,0.0,0.0,48,0.0,0.0,94,0.0,0.0
Harare,Epworth,959,0.0,0.0,111,0.0,0.0,338,0.0,0.0
Harare,Epworth,189,0.0,0.0,28,0.0,0.0,16,0.0,0.0
Harare,Epworth,761,891.0,85.0,90,94.0,96.0,172,490.0,35.0
Harare,Harare,18,0.0,0.0,2,0.0,0.0,0,0.0,100.0
Harare,Harare,305,0.0,0.0,14,0.0,0.0,19,0.0,0.0
Harare,Harare,73,0.0,0.0,7,0.0,0.0,70,0.0,0.0
Harare,Harare,35,0.0,0.0,5,0.0,0.0,0,0.0,100.0
Harare,Harare,158,0.0,0.0,13,0.0,0.0,9,0.0,0.0
Harare,Harare,266,0.0,0.0,10,0.0,0.0,24,0.0,0.0
Harare,Harare,737,0.0,0.0,37,0.0,0.0,66,0.0,0.0
Harare,Harare,0,0.0,100.0,0,0.0,100.0,0,0.0,100.0
Harare,Harare,494,469.0,95.0,7,8.0,88.0,9,6.0,67.0
Harare,Harare,22,0.0,0.0,0,0.0,100.0,0,0.0,100.0
Harare,Harare,35,0.0,0.0,11,0.0,0.0,13,0.0,0.0
Harare,Harare,208,0.0,0.0,22,0.0,0.0,6,0.0,0.0
Harare,Harare,749,0.0,0.0,56,0.0,0.0,238,0.0,0.0
Harare,Harare,64,0.0,0.0,2,0.0,0.0,1,0.0,0.0
Harare,Harare,126,0.0,0.0,38,0.0,0.0,29,0.0,0.0
Harare,Harare,261,0.0,0.0,14,0.0,0.0,0,0.0,100.0
Harare,Harare,99,0.0,0.0,20,0.0,0.0,64,0.0,0.0
Harare,Harare,49,0.0,0.0,1,0.0,0.0,0,0.0,100.0
Harare,Harare,66,0.0,0.0,14,0.0,0.0,13,0.0,0.0
Harare,Harare,402,0.0,0.0,41,0.0,0.0,136,0.0,0.0
Harare,Harare,238,0.0,0.0,19,0.0,0.0,29,0.0,0.0
Harare,Harare,1531,0.0,0.0,81,0.0,0.0,408,0.0,0.0
Harare,Harare,143,0.0,0.0,17,0.0,0.0,21,0.0,0.0
Harare,Harare,181,0.0,0.0,17,0.0,0.0,7,0.0,0.0
Harare,Harare,600,0.0,0.0,24,0.0,0.0,14,0.0,0.0
Harare,Harare,1605,0.0,0.0,56,0.0,0.0,85,0.0,0.0
Harare,Harare,201,0.0,0.0,18,0.0,0.0,37,0.0,0.0
Harare,Harare,168,0.0,0.0,15,0.0,0.0,25,0.0,0.0
Harare,Harare,1077,0.0,0.0,87,0.0,0.0,336,0.0,0.0
Harare,Harare,187,0.0,0.0,22,0.0,0.0,20,0.0,0.0
Harare,Harare,112,0.0,0.0,8,0.0,0.0,0,0.0,100.0
Harare,Harare,406,0.0,0.0,29,0.0,0.0,51,0.0,0.0
Harare,Harare,35,34.0,97.0,2,1.0,50.0,0,0.0,100.0
Harare,Harare,248,0.0,0.0,11,0.0,0.0,6,0.0,0.0
Harare,Harare,781,0.0,0.0,40,0.0,0.0,0,0.0,100.0
Harare,Harare,147,0.0,0.0,5,0.0,0.0,66,0.0,0.0
Harare,Harare,26,0.0,0.0,1,0.0,0.0,0,0.0,100.0
Harare,Harare,19,0.0,0.0,4,0.0,0.0,0,0.0,100.0
Harare,Harare,243,0.0,0.0,4,0.0,0.0,5,0.0,0.0
Harare,Harare,676,0.0,0.0,38,0.0,0.0,45,0.0,0.0
Harare,Harare,117,0.0,0.0,19,0.0,0.0,43,0.0,0.0
Harare,Ruwa,743,0.0,0.0,24,0.0,0.0,22,0.0,0.0
Harare,Ruwa,22,0.0,0.0,10,0.0,0.0,14,0.0,0.0
Manicaland,Mutare,91,226.0,40.0,1,8.0,12.0,11,77.0,14.0
Mashonaland Central,Guruve,223,0.0,0.0,4,0.0,0.0,6,0.0,0.0
Mashonaland Central,Guruve,200,0.0,0.0,4,0.0,0.0,1,0.0,0.0
Mashonaland Central,Guruve,8,0.0,0.0,2,0.0,0.0,0,0.0,100.0
Mashonaland Central,Guruve,685,0.0,0.0,12,0.0,0.0,15,0.0,0.0
Mashonaland Central,Mazowe,153,0.0,0.0,1,0.0,0.0,3,0.0,0.0
Mashonaland Central,Mazowe,667,0.0,0.0,39,0.0,0.0,47,0.0,0.0
Mashonaland Central,Mazowe,51,0.0,0.0,6,0.0,0.0,8,0.0,0.0
Mashonaland Central,Mazowe,71,0.0,0.0,5,0.0,0.0,8,0.0,0.0
Mashonaland Central,Mazowe,16,0.0,0.0,3,0.0,0.0,7,0.0,0.0
Mashonaland Central,Mazowe,0,0.0,100.0,0,0.0,100.0,0,0.0,100.0
Mashonaland Central,Mazowe,812,0.0,0.0,22,0.0,0.0,24,0.0,0.0
Mashonaland Central,Mazowe,329,0.0,0.0,8,0.0,0.0,13,0.0,0.0
Mashonaland Central,Mazowe,189,0.0,0.0,5,0.0,0.0,41,0.0,0.0
Mashonaland Central,Mazowe,254,0.0,0.0,19,0.0,0.0,11,0.0,0.0
Mashonaland Central,Mazowe,743,0.0,0.0,21,0.0,0.0,0,0.0,100.0
Mashonaland Central,Mbire,84,0.0,0.0,1,0.0,0.0,1,0.0,0.0
Mashonaland Central,Mbire,188,0.0,0.0,4,0.0,0.0,1,0.0,0.0
Mashonaland Central,Mbire,366,0.0,0.0,1,0.0,0.0,4,0.0,0.0
Mashonaland Central,Mt Darwin,19,0.0,0.0,8,0.0,0.0,26,0.0,0.0
Mashonaland Central,Mt Darwin,319,0.0,0.0,11,0.0,0.0,7,0.0,0.0
Mashonaland East,Goromonzi,84,0.0,0.0,7,0.0,0.0,5,0.0,0.0
Mashonaland East,Goromonzi,370,0.0,0.0,27,0.0,0.0,15,0.0,0.0
Mashonaland East,Goromonzi,394,0.0,0.0,14,0.0,0.0,12,0.0,0.0
Mashonaland East,Goromonzi,189,0.0,0.0,7,0.0,0.0,2,0.0,0.0
Mashonaland East,Goromonzi,137,0.0,0.0,7,0.0,0.0,8,0.0,0.0
Mashonaland East,Goromonzi,0,0.0,100.0,0,0.0,100.0,0,0.0,100.0
Mashonaland East,Goromonzi,275,0.0,0.0,31,0.0,0.0,4,0.0,0.0
Mashonaland East,Goromonzi,541,0.0,0.0,12,0.0,0.0,12,0.0,0.0
Mashonaland East,Goromonzi,0,0.0,100.0,0,0.0,100.0,0,0.0,100.0
Mashonaland East,Goromonzi,35,0.0,0.0,1,0.0,0.0,0,0.0,100.0
Mashonaland East,Marondera,263,0.0,0.0,14,0.0,0.0,16,0.0,0.0
Mashonaland East,Murehwa,111,0.0,0.0,6,0.0,0.0,3,0.0,0.0
Mashonaland East,Murehwa,439,315.0,72.0,5,5.0,100.0,40,108.0,37.0
Mashonaland East,Murehwa,456,0.0,0.0,25,0.0,0.0,41,0.0,0.0
