Event date,HTS Register Mobile App,ART Register
01/12/2025,587,252
02/12/2025,606,299
03/12/2025,524,277
04/12/2025,617,264
05/12/2025,447,213
06/12/2025,44,29
07/12/2025,7,5
08/12/2025,811,352
09/12/2025,650,353
10/12/2025,637,336
11/12/2025,598,391
12/12/2025,455,247
13/12/2025,61,55
14/12/2025,2,11
15/12/2025,750,370
16/12/2025,611,364
17/12/2025,568,335
18/12/2025,645,344
19/12/2025,476,213
20/12/2025,26,9
21/12/2025,12,0
22/12/2025,14,12
23/12/2025,497,185
24/12/2025,263,101
25/12/2025,3,0
26/12/2025,9,1
27/12/2025,28,5
28/12/2025,9,1
29/12/2025,662,217
30/12/2025,670,192
31/12/2025,398,114
